AF-A0A000-F1-model_v4	e8872c7a0261b9e88e6ff47eb34e4162	394	2	1-51_289-388,53-287	0.0149
AF-A0A001-F1-model_v4	cb86c221bd1ac1e32e74cf89e2ae7499	591	2	5-311,343-572	0.0262
AF-A0A002-F1-model_v4	bfa4d3aa927a6ba10af8368ea54b99ef	564	2	4-304,324-562	0.0126
AF-A0A003-F1-model_v4	ef135b36ed6abc56048aca673273e179	340	1	14-326	0.0503
AF-A0A004-F1-model_v4	8814e3f3cbc538da38990175f0d7426d	645	3	4-215,233-371_482-556,375-481_564-631	0.0528
AF-A0A007-F1-model_v4	7b046718ba42397c853947225b5a04d8	407	2	1-127,135-366	0.0271
AF-A0A009DWB1-F1-model_v4	81f4fd472605e1e6fdf2881c3e860954	45	1	11-42	0.00856
AF-A0A009DWC5-F1-model_v4	31368b609c790f971cd478dc8d0ec2a2	52	0	NULL	0.000306
AF-A0A009DWD5-F1-model_v4	e66c9aad47951fb8610341bd2e275a34	39	0	NULL	0.0114
AF-A0A009DWE1-F1-model_v4	7375206666fc67633b6907154d1b3be5	126	2	6-54,70-125	0.0455
